browser_id	browser_name
1	Lynx 2.7.1
2	Lynx 2.7
3	Lynx 2.6
4	Lynx 2.5
5	Lynx 2.4
6	Lynx (unknown version)
7	Lotus Notes 4.5
8	AOL 4.0
9	AOL 3.0
10	Microsoft Internet Explorer 5.0 beta 2
11	Microsoft Internet Explorer 5.0 beta 1
12	Microsoft Internet Explorer 4.40
13	Microsoft Internet Explorer 4.01
14	Microsoft Internet Explorer 4.0 beta 2
15	Microsoft Internet Explorer 4.0 beta 1
16	Microsoft Internet Explorer 4.0
17	Microsoft Internet Explorer 3.02
18	Microsoft Internet Explorer 3.01
19	Microsoft Internet Explorer 3.0
20	Microsoft Internet Explorer 2.1
21	Microsoft Internet Explorer 2.0
23	Microsoft FrontPage 3.0
24	Microsoft FrontPage 2.0
25	Microsoft FrontPage Express 2.0
26	Microsoft FrontPage (unknown version)
27	ANT Fresco 1.63
28	Cyberdog 2.0
29	Cyberdog (unknown version)
30	NCSA Mosaic 3.0
31	NCSA Mosaic 2.0
32	NCSA Mosaic (unknown version)
33	Opera 3.0
34	Opera 2.12
35	Opera (unknown version)
36	HotJava 1.1
37	HotJava (unknown version)
38	AWeb 3.2
39	AWeb 3.1
40	AWeb 3.0
41	AWeb (unknown version)
42	Arena beta 3a
43	Voyager 2.96
44	Voyager 2.95
45	Voyager (unknown version)
46	Iweng 1.2
47	CacheFlow Cache 1.1
48	CacheFlow Cache (unknown version)
49	Cherry Picker SE 1.0
50	Cherry Picker SE 2.0
51	Cherry Picker SE (unknown version)
52	Echo 2.0
53	Echo 1.3
54	Echo (unknown version)
55	Go-Ahead-Got-It 1.1
56	Go-Ahead-Got-It (unknown version)
57	IBM WebExplorer 1.2
58	IBM WebExplorer 1.1
59	IBM WebExplorer 1.0
60	IBM WebExplorer (unknown version)
61	IBrowse 1.2
62	IBrowse 1.16
63	IBrowse 1.12
64	IBrowse 1.11
65	IBrowse 1.02
66	IBrowse (unknown version)
67	InfoSeek Sidewinder 0.9
68	InfoSeek Sidewinder (unknown version)
69	Java 1.1.6
70	Java 1.1.5
71	Java 1.1.4
72	Java (unknown version)
73	OmniWeb 3.0
74	OmniWeb 2.7
75	OmniWeb 2.5
76	OmniWeb 2.1.5
77	OmniWeb 2.0.1
78	OmniWeb (unknown version)
79	NETCOMplete 4.0
80	NETCOMplete 3.27
81	NETCOMplete 3.2
82	NETCOMplete (unknown version)
83	Prodigy 3.4
84	Prodigy 3.2
85	Prodigy (unknown version)
86	PlanetWeb 1.151
87	PlanetWeb 1.147
88	PlanetWeb 1.135
89	PlanetWeb 1.114
90	PlanetWeb 1.011
92	Science Traveller International 1.0
93	Science Traveller International (unknown version)
94	Teleport Pro 1.29
95	Teleport Pro 1.28
96	Teleport (unknown version)
97	TradeWave Win Web 2.0
98	WWWC 0.93
99	WWWC (unknown version)
100	WebCompass 2.0
101	WebCompass (unknown version)
102	WebTrends Link Analyzer
103	Wget 1.5.1
104	Wget 1.5.0
105	Wget 1.4.5
106	Wget (unknown version)
107	Netscape Navigator 4.5
108	Netscape Navigator 4.5 beta 2
109	Netscape Navigator 4.5 beta 1
110	Netscape Navigator 4.07
111	Netscape Navigator 4.06
112	Netscape Navigator 4.05
113	Netscape Navigator 4.04
114	Netscape Navigator 4.03
115	Netscape Navigator 4.02
116	Netscape Navigator 4.01
117	Netscape Navigator 4.0 beta 5
118	Netscape Navigator 4.0 beta 4
119	Netscape Navigator 4.0 beta 3
120	Netscape Navigator 4.0
121	Netscape Navigator Gold 3.04
122	Netscape Navigator 3.04
123	Netscape Navigator Gold 3.03
124	Netscape Navigator 3.03
125	Netscape Navigator Gold 3.02
126	Netscape Navigator 3.02
127	Netscape Navigator Gold 3.01
128	Netscape Navigator 3.01
129	Netscape Navigator Gold 3.0
130	Netscape Navigator 3.0
131	Netscape Navigator Gold 2.02
132	Netscape Navigator 2.02
133	Netscape Navigator 2.01
134	Netscape Navigator 2.0
135	Netscape Navigator 1.2
136	Netscape Navigator 1.1
138	Other (unknown)
139	Internet Ninja 3.0
142	Perl User Agent (library)
144	Babylon
145	Web Downloader 3.0
146	JustView 2.0
147	WebFetch
149	NCSA Mosaic 2.7b5
150	NaviPress 2.0
152	Nutscrape 1.0
153	NetAttache 2.5
154	WebVCR 1.5
155	Microsoft Internet Explorer 5.0
156	Netscape Navigator 4.08
157	Netscape Navigator 4.51
158	Netscape Navigator 4.6
159	Netscape Navigator 4.61
200	Netscape Navigator 4.7
201	Netscape Navigator 4.71
202	Netscape Navigator 4.72
203	Netscape Navigator 4.73
204	Netscape Navigator 6
205	Microsoft Internet Explorer 4.5 (Macintosh)
206	Microsoft Internet Explorer 5.01
207	Microsoft Internet Explorer 5.5
208	Opera 4.0 Beta
209	Opera 4.0
210	Opera 3.62
211	HotJava 3.0
212	Amaya 3.1
213	Amaya 2.4
214	Amaya (unknown version)
215	WebTV Viewer (older versions)
216	iCab 2.0
217	iCab 1.9
218	iCab (unknown version)
219	Lynx 2.8.3
220	Lynx 2.8.1
221	Voyager 3.2
222	Internet WorkHorse 0.174b
223	Internet Ninja 4.0
224	Internet Ninja 5.0
225	Internet Ninja (unknown version)
226	CompuServe 2000
227	Offline Explorer 1.3
228	Offline Explorer 1.2
229	Offline Explorer (unknown version)
230	Konqueror (unknown version)
231	Opera 3.60
233	Mozilla (Gecko) (unknown version)
234	AOL 5.0
235	Microsoft Internet Explorer 5.0 (AOL)
236	Microsoft Internet Explorer 4.01 (AOL)
237	Microsoft Internet Explorer 3.02 (AOL)
238	Microsoft Internet Explorer 3.01 (AOL)
239	Microsoft Internet Explorer 3.0 (AOL)
240	NetPositive
241	Netscape Navigator 4.74
242	Netscape Navigator 4.75
243	Microsoft MSN Explorer
244	Microsoft MSN Explorer 2.5
245	Microsoft MSN Explorer 2.6
246	Microsoft MSN Explorer 6.0
247	Microsoft MSN Explorer Companion
248	Microsoft MSN Internet Access
249	Microsoft Internet Explorer 6.0 beta
250	WebTV Viewer
251	AvantGo (unknown version)
252	Netscape Navigator 4.76
253	Opera 4.x (unknown version)
254	Opera 5.x (unknown version)
255	Keynote Perspective
256	PlanetWeb (unknown version)
257	Java 1.3.0
258	Microsoft Internet Explorer 5.5 (AOL)
259	Microsoft Internet Explorer 5.01 (AOL)
260	Netscape Navigator 4.77
261	Microsoft Internet Explorer 6.0
262	Netscape Navigator 6.1
263	Netscape Navigator 6.2
264	Netscape Navigator 7
265	Opera 6.x (unknown version)
266	Galeon (unknown version)
267	Compuserve 7 (Mozilla)
268	AOL 6.0
269	AOL 7.0
270	AOL 8.0
271	Microsoft Internet Explorer 6.0 (AOL)
272	Microsoft MSN Explorer 6.1
273	Microsoft MSN Explorer 8.0
274	Safari (unknown version)
275	Pocket IE
276	PocketLink
277	PalmComm
278	NetFront
279	Offline Data Import
280	Microsoft Internet Explorer 5.23 (Macintosh)
281	Opera 7.x (unknown version)
282	Safari 1.2.4
283	Safari 1.2
284	Safari 1.1
285	Safari 1.0
286	Safari 0.9
287	Safari 0.8.2
288	Safari 0.8.1
289	Safari 0.8
290	Safari 1.2.2
291	Safari 1.2.3
292	Microsoft Internet Explorer 5.22 (Macintosh)
293	Netscape Navigator 7.2
294	Netscape Navigator 7.1
295	Netscape Navigator 7.02
296	Netscape Navigator 7.0
297	Netscape Navigator 4.79
298	Netscape Navigator 6.2.3
299	Mozilla Firefox (unknown version)
300	Safari 1.3
301	Safari 2.0
302	Netscape Navigator 8.0
303	Netscape Navigator 8.0.1
304	Netscape Navigator 8.0.2
305	Netscape Navigator 8.0.3.1
306	Netscape Navigator 8.0.3.3
307	Netscape Navigator 8.0.3.4
308	Netscape Navigator 8.0.3.5
309	Netscape Navigator 8.1
310	Microsoft Internet Explorer 7.0 beta
311	America Online Browser 1.0
312	America Online Browser 1.1
313	Microsoft Internet Explorer 7.0
314	Microsoft Internet Explorer 5.14 (Macintosh)
315	Microsoft Internet Explorer 5.16 (Macintosh)
316	Microsoft Internet Explorer 5.17 (Macintosh)
317	Safari 2.0.1
318	Safari 2.0.2
319	Safari 2.0.3
320	Safari 1.3.1
321	Safari 1.3.2
322	Mozilla Firefox 1.0
323	Mozilla Firefox 1.5
324	Web TV
325	MSN TV2
326	Safari 2.0.4
327	Mozilla Firefox 1.0.4
328	Mozilla Firefox 1.0.5
329	Mozilla Firefox 1.0.6
330	Mozilla Firefox 1.0.7
331	Mozilla Firefox 1.5 beta
332	Mozilla Firefox 1.5.0
333	America Online Browser (unknown version)
334	America Online Browser 1.6
335	America Online Browser 1.7
336	Mozilla Firefox 2.0
337	AOL 9.0
338	AvantGo 3.2
339	AvantGo 5.2
340	AvantGo 5.5
341	AvantGo 6.0
342	Galeon 1.0.2
343	Galeon 1.0.3
344	Galeon 1.2.0
345	Galeon 1.2.11
346	Galeon 1.2.13
347	Galeon 1.2.5
348	Galeon 1.2.6
349	Galeon 1.2.7
350	Galeon 1.2.8
351	Galeon 1.3.10
352	Galeon 1.3.11
353	Galeon 1.3.12
354	Galeon 1.3.13
355	Galeon 1.3.14
356	Galeon 1.3.15
357	Galeon 1.3.16
358	Galeon 1.3.17
359	Galeon 1.3.18
360	Galeon 1.3.19
361	Galeon 1.3.20
362	Galeon 1.3.3
363	Galeon 1.3.4
364	Galeon 1.3.5
365	Galeon 1.3.7
366	Galeon 1.3.8
367	Galeon 1.3.9
368	Konqueror 1.1.2
369	Konqueror 2.0.1
370	Konqueror 2.1.1
371	Konqueror 2.1.2
372	Konqueror 2.2
373	Konqueror 2.2.1
374	Konqueror 2.2.2
375	Konqueror 3
376	Konqueror 3.0.1
377	Konqueror 3.1
378	Konqueror 3.1.3
379	Konqueror 3.2
380	Konqueror 3.2.2
381	Konqueror 3.2.3
382	Konqueror 3.3
383	Konqueror 3.4
384	Konqueror 4.2
385	Microsoft Internet Explorer (unknown version)
386	Microsoft MSN Explorer 9.0
387	Mozilla (Gecko) 0.9.2
388	Mozilla (Gecko) 0.9.3
389	Mozilla (Gecko) 0.9.4
390	Mozilla (Gecko) 0.9.5
391	Mozilla (Gecko) 0.9.6
392	Mozilla (Gecko) 0.9.8
393	Mozilla (Gecko) 0.9.9
394	Mozilla (Gecko) 1.0
395	Mozilla (Gecko) 1.0.1
396	Mozilla (Gecko) 1.0.2
397	Mozilla (Gecko) 1.1
398	Mozilla (Gecko) 1.2
399	Mozilla (Gecko) 1.2.1
400	Mozilla (Gecko) 1.2.9
401	Mozilla (Gecko) 1.3
402	Mozilla (Gecko) 1.3.1
403	Mozilla (Gecko) 1.4
404	Mozilla (Gecko) 1.4.1
405	Mozilla (Gecko) 1.4.2
406	Mozilla (Gecko) 1.4.3
407	Mozilla (Gecko) 1.5
408	Mozilla (Gecko) 1.5.1
409	Mozilla (Gecko) 1.6
410	Mozilla (Gecko) 1.7
411	Mozilla (Gecko) 1.7.1
412	Mozilla (Gecko) 1.7.13
413	Mozilla (Gecko) 1.7.2
414	Mozilla (Gecko) 1.7.3
415	Mozilla (Gecko) 1.7.4
416	Mozilla (Gecko) 1.7.5
417	Mozilla (Gecko) 1.8
419	Mozilla Firefox 1.5.0.1
420	Mozilla Firefox 1.5.0.2
421	Mozilla Firefox 1.5.0.3
422	Opera 4.02
423	Opera 4.03
424	Opera 5.0
425	Opera 5.01
426	Opera 5.02
427	Opera 5.12
428	Opera 6.0
429	Opera 6.01
430	Opera 6.02
431	Opera 6.03
432	Opera 6.04
433	Opera 6.05
434	Opera 6.06
435	Opera 6.1
436	Opera 6.10
437	Opera 6.11
438	Opera 6.12
439	Opera 6.20
440	Opera 7.0
441	Opera 7.01
442	Opera 7.02
443	Opera 7.03
444	Opera 7.10
445	Opera 7.11
446	Opera 7.20
447	Opera 7.21
448	Opera 7.22
449	Opera 7.23
450	Opera 7.30
451	Opera 7.50
452	Opera 7.51
453	Opera 7.52
454	Opera 7.53
455	Opera 7.54
456	Opera 7.60
457	Opera 8.0
458	Opera 8.01
459	Opera 8.02
460	Opera 8.4
461	Opera 8.5
462	Opera 8.51
463	Opera 8.52
464	Opera 8.53
465	Opera 8.54
466	Opera 8.x (unknown version)
467	Opera 9.0
468	Opera 9.x (unknown version)
469	Safari 1.0.2
470	Safari 1.0.3
471	Safari 1.1.1
472	Safari 3.0
473	Safari 3.0 (iPhone)
474	Safari 3.0.0
475	Safari 3.0.1
476	Safari 3.0.2
477	Safari 3.0.3
478	Safari 3.0.4
479	Safari 3.0.5
480	Safari 3.0.6
481	Safari 3.0.7
482	Safari 3.1
483	Safari 3.1.0
484	Safari 3.1.1
485	Safari 3.1.2
486	Mozilla Firefox 2.0 beta
487	Mozilla Firefox 2.0.0.1
488	Mozilla Firefox 2.0.0.2
489	Mozilla Firefox 2.0.0.3
490	Mozilla Firefox 2.0.0.4
491	Mozilla Firefox 2.0.0.6
492	Mozilla Firefox 2.0.0.7
493	Mozilla Firefox 2.0.0.9
494	Mozilla Firefox 3.0 alpha
495	Mozilla Firefox 3.0 beta
496	Safari 3.0 (iPod Touch)
497	Microsoft Internet Explorer 8
498	Mozilla Firefox 3.0
499	Google Chrome 0.2
500	Google Chrome (unknown version)
501	Google Chrome 1.0
502	Mozilla Firefox 3.1
503	Safari 3.2
504	Safari 3.2.1
505	Safari 4.0
506	Google Chrome 2.0
507	Microsoft Internet Explorer 7.0 (AOL)
508	Playstation 3
509	Opera 10
510	Mozilla Firefox 3.5
511	Safari 4.0dp1
512	Safari 4.0.1
513	Safari 4.0.2
514	Safari 4.0.3
515	Safari 4.0.4
516	Mozilla Firefox 3.6
517	Google Chrome 3.0
518	Google Chrome 4.0
519	Google Chrome 5.0
520	Safari 5.0
521	Safari 4.1
522	Safari 4.0.5
523	Mozilla Firefox 2.0.0.10
524	Mozilla Firefox 2.0.0.11
525	Mozilla Firefox 2.0.0.12
526	Mozilla Firefox 3.8
527	Google Chrome 0.3
528	Google Chrome 0.4
529	Google Chrome 6.0
530	NetSurf 1.0
531	NetSurf 1.1
532	NetSurf 1.2
533	NetSurf 2.0
534	Netscape Navigator 9.0
535	Google Chrome 7.0
536	Safari 5.0.1
537	Microsoft Internet Explorer 9
538	Safari 5.0.2
539	Google Chrome 8.0
540	Adobe AIR (Unknown Version)
541	Adobe AIR 1.5
542	Adobe AIR 2.0
543	Google Chrome 8.1
544	Google Chrome 9.0
545	Google Chrome 9.1
546	Google Chrome (GoogleTV)
547	Opera (Nintendo Wii)
548	Mozilla Firefox 4.0
549	Opera 11
550	Safari 5.0.3
