id,ContentType,Title,Modified,Created,Author,Editor,_UIVersionString,Attachments,Edit,LinkTitleNoMenu,LinkTitle,DocIcon,ItemChildCount,FolderChildCount,_ComplianceFlags,_ComplianceTag,_ComplianceTagWrittenTime,_ComplianceTagUserId,AppAuthor,AppEditor,ComplianceAssetId,SurveyTitle,QualtricsProjectName,SurveyDisplayName,TemplateCategory,SurveyType,ProjectDescriptionorScope,JobNumber,ClientIndustry,GenslerDesignMgr,OverallFee,Locationssurveyed,Address,City,State,Country,Longitude,Latitude,TotalPolled,Template,Template_x003a_SurveyID,Survey_x0020_Long_x0020_Name,SurveyID,NDA_x0020_Signed_x003f_,Survey_x0020_Fee,Create_x0020_Survey_x0020_Now_x0,EmailTrigger,Close_x0020_Date,Preview_x0020_Link,Live_x0020_Link,Online_x0020_Results,Respondents,Building_x0020_Locations,Status,Launch_x0020_Date,Created_x0020_Date0,Copy_x0020_from_x0020_Previous_x,Copy_x0020_from_x0020_Previous_x0,Copy_x0020_from_x0020_Previous_x1,Platform,Client_x0020_Contact,_ColorTag,Count_x0020_Previews,Client_x0020_Short_x0020_Name,Copy_x0020_from_x0020_Previous_x3,Currency_x0020_Code,API_x0020_Log,Survey_x0020_Type_x003a_LongName,Survey_x0020_Type_x003a_Title,PracticeAreaName,SectorName,PowerBIFolder,project_accountant_email,design_manager_email,Template_x0020_Category_x003a_Re,ItemID_OLD,project_accountant,rowcount,Additional_x0020_Units,Calculated_Fee,Gensler_x0020_Designed,_IsRecord
2001,Item,Research & Development,2026-01-04T14:31:06Z,2025-10-30T14:31:06Z,Survey Generator,Data Team,12,False,,Research & Development,Research & Development,,0,0,,,,,,,,Research & Development | Training Needs Assessment,Research & Development,,Training,Pre-Occ,Training Needs Analysis,505.6253.162,Retail,,,Single site,,Seattle,WA,United States,-122.3321,47.6062,72,Random Generated,,Research & Development | Training Needs Assessment Survey (Survey 12),6dt3T7AEKWJVxBm,False,0,False,False,,,,,,,Cancelled,2026-01-19T14:31:06Z,2025-10-30T14:31:06Z,,,,Qualtrics,,,False,Research & Development,,,,Training Needs Analysis,Pre-Occ,Community,Work,False,,,,2001,,601,0,"""($2,500)""",,
2002,Item,Finance,2026-01-15T14:31:06Z,2025-08-28T14:31:06Z,Survey Generator,Survey Admin,27,False,,Finance,Finance,,0,0,,,,,,,,Finance | Process Improvement,Finance,,Process,Post-Occ,Process Improvement Study,558.6489.637,Finance,,,Single site,,Tokyo,,Japan,139.6503,35.6762,339,Random Generated,,Finance | Process Improvement Survey (Survey 16),CbGwUFwlfDEC2be,False,0,False,False,,,,,215,,Active,2025-12-17T14:31:06Z,2025-08-28T14:31:06Z,,,,Qualtrics,,,False,Finance,,,,Process Improvement Study,Post-Occ,Workplace,Mixed Use,False,,,,2002,,602,0,"""($2,500)""",,
2003,Item,Customer Service,2026-01-11T14:31:06Z,2025-10-17T14:31:06Z,Survey Generator,Survey Admin,27,False,,Customer Service,Customer Service,,0,0,,,,,,,,Customer Service | Innovation Culture,Customer Service,,Innovation,Post-Occ,Innovation Culture Study,788.5144.829,Media & Entertainment,,,Single site,,Seattle,WA,United States,-122.3321,47.6062,232,Random Generated,,Customer Service | Innovation Culture Survey (Survey 13),Cn3MZZvRoHa3KPf,False,0,False,False,2025-12-12T14:31:06Z,,,,120,,Closed,2025-12-12T14:31:06Z,2025-10-17T14:31:06Z,,,,Qualtrics,,,False,Customer Service,,,,Innovation Culture Study,Post-Occ,Professional Services,Lifestyle,False,,,,2003,,603,0,"""($2,500)""",,
2004,Item,Quality Assurance,2026-01-22T14:31:06Z,2025-12-20T14:31:06Z,Survey Generator,Survey Admin,11,False,,Quality Assurance,Quality Assurance,,0,0,,,,,,,,Quality Assurance | Workspace Optimization,Quality Assurance,,WPIx,Pre-Occ,Workplace Performance Assessment,786.2909.410,Legal,,,Single site,,Austin,TX,United States,-97.7431,30.2672,19,Random Generated,,Quality Assurance | Workspace Optimization Survey (Survey 14),D0IOJIfOCIRSdzt,False,0,False,False,,,,,,,Cancelled,2026-01-20T14:31:06Z,2025-12-20T14:31:06Z,,,,Qualtrics,,,False,Quality Assurance,,,,Workplace Performance Assessment,Pre-Occ,Workplace,Civic,False,,,,2004,,604,0,"""($2,500)""",,
2005,Item,IT,2026-01-04T14:31:06Z,2026-01-25T14:31:06Z,Survey Generator,Renny Shih,25,False,,IT,IT,,0,0,,,,,,,,IT | Customer Satisfaction,IT,,Customer,Post-Occ,Customer Experience Assessment,195.7504.990,Manufacturing,,,Single site,,Berlin,,Germany,13.405,52.52,115,Random Generated,,IT | Customer Satisfaction Survey (Survey 17),Gn2GQH4c2GkEXqT,False,0,False,False,2026-01-26T14:31:06Z,,,,55,,Closed,2026-01-26T14:31:06Z,2026-01-25T14:31:06Z,,,,Qualtrics,,,False,IT,,,,Customer Experience Assessment,Post-Occ,Workplace,Lifestyle,False,,,,2005,,605,0,"""($2,500)""",,
2006,Item,Customer Service,2026-01-05T14:31:06Z,2025-11-05T14:31:06Z,Survey Generator,Survey Admin,13,False,,Customer Service,Customer Service,,0,0,,,,,,,,Customer Service | Department Collaboration,Customer Service,,WPIx,Post-Occ,Department Collaboration Study,336.9745.142,Media & Entertainment,,,Single site,,Toronto,ON,Canada,-79.3832,43.6532,381,Random Generated,,Customer Service | Department Collaboration Survey (Survey 15),LP5f0SUye85uhOf,False,0,False,False,2026-01-04T14:31:06Z,,,,321,,Closed,2026-01-04T14:31:06Z,2025-11-05T14:31:06Z,,,,Qualtrics,,,False,Customer Service,,,,Department Collaboration Study,Post-Occ,Professional Services,Retail,False,,,,2006,,606,0,"""($2,500)""",,
2007,Item,Business Development,2026-01-07T14:31:06Z,2025-11-23T14:31:06Z,Survey Generator,Isabel Kraut,21,False,,Business Development,Business Development,,0,0,,,,,,,,Business Development | Team Performance,Business Development,,Team,Post-Occ,Team Performance Evaluation,503.4012.144,Legal,,,Single site,,Tokyo,,Japan,139.6503,35.6762,406,Random Generated,,Business Development | Team Performance Survey (Survey 1),M67xU8rNTvVO9QH,False,0,False,False,,,,,203,,Active,2026-01-15T14:31:06Z,2025-11-23T14:31:06Z,,,,Qualtrics,,,False,Business Development,,,,Team Performance Evaluation,Post-Occ,Community,Education,False,,,,2007,,607,0,"""($2,500)""",,
2008,Item,Engineering,2026-01-20T14:31:06Z,2025-11-27T14:31:06Z,Survey Generator,Isabel Kraut,26,False,,Engineering,Engineering,,0,0,,,,,,,,Engineering | Employee Engagement,Engineering,,WPIx,Post-Occ,Workplace Performance Assessment,526.2719.864,Biotech/ Pharma,,,Single site,,Paris,,France,2.3522,48.8566,69,Random Generated,,Engineering | Employee Engagement Survey (Survey 2),O9X9A0ADfLLUZr5,False,0,False,False,,,,,,,Cancelled,2026-01-03T14:31:06Z,2025-11-27T14:31:06Z,,,,Qualtrics,,,False,Engineering,,,,Workplace Performance Assessment,Post-Occ,Planning & Strategies,Civic,False,,,,2008,,608,0,"""($2,500)""",,
2009,Item,IT,2026-01-11T14:31:06Z,2026-01-26T14:31:06Z,Survey Generator,Survey Admin,30,False,,IT,IT,,0,0,,,,,,,,IT | Employee Engagement,IT,,WPIx,Post-Occ,Workplace Performance Assessment,875.8262.623,Consulting,,,Single site,,Chicago,IL,United States,-87.6298,41.8781,15,Random Generated,,IT | Employee Engagement Survey (Survey 11),P60ouXc6jY05XAZ,False,0,False,False,,,,,,,Cancelled,2025-12-06T14:31:06Z,2026-01-26T14:31:06Z,,,,Qualtrics,,,False,IT,,,,Workplace Performance Assessment,Post-Occ,Community,Education,False,,,,2009,,609,0,"""($2,500)""",,
2010,Item,Research & Development,2025-12-31T14:31:06Z,2025-10-19T14:31:06Z,Survey Generator,Data Team,14,False,,Research & Development,Research & Development,,0,0,,,,,,,,Research & Development | Team Performance,Research & Development,,Team,Post-Occ,Team Performance Evaluation,474.1374.451,Biotech/ Pharma,,,Single site,,Tokyo,,Japan,139.6503,35.6762,85,Random Generated,,Research & Development | Team Performance Survey (Survey 3),PoYk9B4pueoki2u,False,0,False,False,,,,,,,Cancelled,2026-01-05T14:31:06Z,2025-10-19T14:31:06Z,,,,Qualtrics,,,False,Research & Development,,,,Team Performance Evaluation,Post-Occ,Community,Mixed Use,False,,,,2010,,610,0,"""($2,500)""",,
2011,Item,Research & Development,2026-01-29T14:31:06Z,2026-01-23T14:31:06Z,Survey Generator,Isabel Kraut,12,False,,Research & Development,Research & Development,,0,0,,,,,,,,Research & Development | Communication Effectiveness,Research & Development,,Comm,Post-Occ,Communication Assessment,131.8808.673,Retail,,,Single site,,Tokyo,,Japan,139.6503,35.6762,61,Random Generated,,Research & Development | Communication Effectiveness Survey (Survey 9),Uo2pyTJUBW7uka8,False,0,False,False,,,,,,,Cancelled,2026-01-15T14:31:06Z,2026-01-23T14:31:06Z,,,,Qualtrics,,,False,Research & Development,,,,Communication Assessment,Post-Occ,Community,Work,False,,,,2011,,611,0,"""($2,500)""",,
2012,Item,Design,2026-01-23T14:31:06Z,2025-10-09T14:31:06Z,Survey Generator,Isabel Kraut,20,False,,Design,Design,,0,0,,,,,,,,Design | Team Performance,Design,,Team,Post-Occ,Team Performance Evaluation,143.8210.377,Legal,,,Single site,,Toronto,ON,Canada,-79.3832,43.6532,162,Random Generated,,Design | Team Performance Survey (Survey 19),d2ljN4iRdyjXhrk,False,0,False,False,,,,,144,,Active,2026-01-27T14:31:06Z,2025-10-09T14:31:06Z,,,,Qualtrics,,,False,Design,,,,Team Performance Evaluation,Post-Occ,Digital Experience,Education,False,,,,2012,,612,0,"""($2,500)""",,
2013,Item,Engineering,2026-01-20T14:31:06Z,2026-01-22T14:31:06Z,Survey Generator,Data Team,12,False,,Engineering,Engineering,,0,0,,,,,,,,Engineering | Strategic Planning,Engineering,,Strategy,Pre-Occ,Strategic Planning Assessment,595.3727.295,Finance,,,Single site,,Tokyo,,Japan,139.6503,35.6762,264,Random Generated,,Engineering | Strategic Planning Survey (Survey 4),iZoIcjZrXalBjNM,False,0,False,False,,,,,152,,Active,2026-01-18T14:31:06Z,2026-01-22T14:31:06Z,,,,Qualtrics,,,False,Engineering,,,,Strategic Planning Assessment,Pre-Occ,Digital Experience,Lifestyle,False,,,,2013,,613,0,"""($2,500)""",,
2014,Item,Product Management,2026-01-20T14:31:06Z,2025-08-17T14:31:06Z,Survey Generator,Survey Admin,30,False,,Product Management,Product Management,,0,0,,,,,,,,Product Management | Strategic Planning,Product Management,,Strategy,Pre-Occ,Strategic Planning Assessment,132.2114.105,Education,,,Single site,,Singapore,,Singapore,103.8198,1.3521,34,Random Generated,,Product Management | Strategic Planning Survey (Survey 6),j47yQ9wd0KQCrn9,False,0,False,False,,,,,,,Cancelled,2026-01-03T14:31:06Z,2025-08-17T14:31:06Z,,,,Qualtrics,,,False,Product Management,,,,Strategic Planning Assessment,Pre-Occ,Planning & Strategies,Work,False,,,,2014,,614,0,"""($2,500)""",,
2015,Item,Finance,2026-01-05T14:31:06Z,2026-01-18T14:31:06Z,Survey Generator,Isabel Kraut,30,False,,Finance,Finance,,0,0,,,,,,,,Finance | Team Performance,Finance,,Team,Post-Occ,Team Performance Evaluation,172.6170.219,Biotech/ Pharma,,,Single site,,San Francisco,CA,United States,-122.4194,37.7749,290,Random Generated,,Finance | Team Performance Survey (Survey 20),lXNyP2gWvONmdgr,False,0,False,False,,,,,175,,Active,2026-01-12T14:31:06Z,2026-01-18T14:31:06Z,,,,Qualtrics,,,False,Finance,,,,Team Performance Evaluation,Post-Occ,Planning & Strategies,Work,False,,,,2015,,615,0,"""($2,500)""",,
2016,Item,Operations,2026-01-29T14:31:06Z,2025-08-24T14:31:06Z,Survey Generator,Isabel Kraut,11,False,,Operations,Operations,,0,0,,,,,,,,Operations | Technology Adoption,Operations,,Tech,Pre-Occ,Technology Assessment,402.6077.136,Real Estate,,,Single site,,Los Angeles,CA,United States,-118.2437,34.0522,95,Random Generated,,Operations | Technology Adoption Survey (Survey 18),pZPiobTmETVG9ZW,False,0,False,False,,,,,,,Cancelled,2026-01-07T14:31:06Z,2025-08-24T14:31:06Z,,,,Qualtrics,,,False,Operations,,,,Technology Assessment,Pre-Occ,Planning & Strategies,Retail,False,,,,2016,,616,0,"""($2,500)""",,
2017,Item,Administration,2026-01-01T14:31:06Z,2025-11-22T14:31:06Z,Survey Generator,Renny Shih,24,False,,Administration,Administration,,0,0,,,,,,,,Administration | Technology Adoption,Administration,,Tech,Pre-Occ,Technology Assessment,753.7608.466,Consulting,,,Single site,,Sydney,NSW,Australia,151.2093,-33.8688,77,Random Generated,,Administration | Technology Adoption Survey (Survey 5),prP3YPZm4PW6GO2,False,0,False,False,2025-12-09T14:31:06Z,,,,43,,Closed,2025-12-09T14:31:06Z,2025-11-22T14:31:06Z,,,,Qualtrics,,,False,Administration,,,,Technology Assessment,Pre-Occ,Digital Experience,Culture,False,,,,2017,,617,0,"""($2,500)""",,
2018,Item,Design,2026-01-21T14:31:06Z,2026-01-04T14:31:06Z,Survey Generator,Isabel Kraut,21,False,,Design,Design,,0,0,,,,,,,,Design | Workspace Optimization,Design,,WPIx,Pre-Occ,Workplace Performance Assessment,777.3209.632,Healthcare,,,Single site,,Tokyo,,Japan,139.6503,35.6762,40,Random Generated,,Design | Workspace Optimization Survey (Survey 10),sUfTn0xX55EtXPV,False,0,False,False,,,,,,,Cancelled,2025-12-01T14:31:06Z,2026-01-04T14:31:06Z,,,,Qualtrics,,,False,Design,,,,Workplace Performance Assessment,Pre-Occ,Planning & Strategies,Mixed Use,False,,,,2018,,618,0,"""($2,500)""",,
2019,Item,Sales,2026-01-09T14:31:06Z,2025-12-01T14:31:06Z,Survey Generator,Isabel Kraut,15,False,,Sales,Sales,,0,0,,,,,,,,Sales | Workspace Optimization,Sales,,WPIx,Pre-Occ,Workplace Performance Assessment,460.8787.665,Real Estate,,,Single site,,Sydney,NSW,Australia,151.2093,-33.8688,88,Random Generated,,Sales | Workspace Optimization Survey (Survey 7),srBlBBtzzeR3THi,False,0,False,False,,,,,,,Cancelled,2026-01-02T14:31:06Z,2025-12-01T14:31:06Z,,,,Qualtrics,,,False,Sales,,,,Workplace Performance Assessment,Pre-Occ,Digital Experience,Work,False,,,,2019,,619,0,"""($2,500)""",,
2020,Item,Finance,2026-01-09T14:31:06Z,2025-08-30T14:31:06Z,Survey Generator,Isabel Kraut,13,False,,Finance,Finance,,0,0,,,,,,,,Finance | Training Needs Assessment,Finance,,Training,Pre-Occ,Training Needs Analysis,524.8741.628,Legal,,,Single site,,New York,NY,United States,-73.9712,40.7831,237,Random Generated,,Finance | Training Needs Assessment Survey (Survey 8),yXv4vCIam28wlG4,False,0,False,False,,,,,140,,Active,2026-01-24T14:31:06Z,2025-08-30T14:31:06Z,,,,Qualtrics,,,False,Finance,,,,Training Needs Analysis,Pre-Occ,Brand Design,Retail,False,,,,2020,,620,0,"""($2,500)""",,
